1,Avis,Moroz,Avis.Moroz@gmail.com  ,(325) 372-8992,7811 E. Hamilton,Abbott,TX,No Comment,1
2,Floyd,Paek,Floyd.Paek@gmail.com  ,(706) 578-8078,409 N. Paris Hill St,Abernathy,TX,No Comment,1
3,Marjory,Gisi,Marjory.Gisi@gmail.com  ,(405) 676-2234,968 W. Lakeshore St.,Abilene,TX,No Comment,1
4,Lance,Garnett,Lance.Garnett@gmail.com  ,(338) 466-1980,863 N. Walt Whitman,Ackerly,TX,No Comment,1
5,Georgene,Bach,Georgene.Bach@gmail.com  ,(629) 397-4936,47 Lyme Ave,Addison,TX,No Comment,1
6,Evonne,Seales,Evonne.Seales@gmail.com  ,(553) 650-0503,35 N. Indian Summer,Adrian,TX,No Comment,1
7,Jeanette,Allinder,Jeanette.Allinder@gmail.com  ,(414) 383-1439,41 Carson St.,Agua Dulce,TX,No Comment,1
8,Anh,Currier,Anh.Currier@gmail.com  ,(503) 246-2251,80 North Pulaski Dr.,Alamo,TX,No Comment,1
9,Major,Fuller,Major.Fuller@gmail.com  ,(691) 946-7716,40 Roehampton Rd,Alamo Heights,TX,No Comment,1
10,Eldon,Mccolley,Eldon.Mccolley@gmail.com  ,(973) 836-1042,397 Randall Mill St.,Albany,TX,No Comment,1
11,Rudolf,Reza,Rudolf.Reza@gmail.com  ,(246) 581-8261,7293 Goldfield St,Aledo,TX,No Comment,1
12,Norma,Flemister,Norma.Flemister@gmail.com  ,(610) 503-6106,674 Del Monte St,Alice,TX,No Comment,1
13,Carman,Turco,Carman.Turco@gmail.com  ,(716) 346-8068,15 Oakland ,Allen,TX,No Comment,1
14,Lovella,Jennette,Lovella.Jennette@gmail.com  ,(817) 768-7173,468 Santa Clara St,Alpine,TX,No Comment,1
15,Rutha,Widman,Rutha.Widman@gmail.com  ,(447) 410-5693,44 Swanson St,Alon,TX,No Comment,1
16,Annamarie,Alpers,Annamarie.Alpers@gmail.com  ,(286) 468-4490,33 E. Piper Ave.,Alvarado,TX,No Comment,1
17,Kit,Blasko,Kit.Blasko@gmail.com  ,(393) 238-9026,7758 Manor St.,Alvin,TX,No Comment,1
18,Jeanice,Grennan,Jeanice.Grennan@gmail.com  ,(324) 772-6334,748 Brandywine Rd,Amarillo,TX,No Comment,1
19,Janice,Son,Janice.Son@gmail.com  ,(774) 850-5891,814 Trenton Lane,Ames,TX,No Comment,1
20,Alica,Alt,Alica.Alt@gmail.com  ,(992) 985-5684,8697 Oak Meadow St,Amherst,TX,No Comment,1
21,Etsuko,Canter,Etsuko.Canter@gmail.com  ,(615) 773-6740,601 Peg Shop,Anahuac,TX,No Comment,1
22,Ruby,Dube,Ruby.Dube@gmail.com  ,(250) 999-5792,432 Durham St.,Anderson,TX,No Comment,1
23,Laronda,Willcox,Laronda.Willcox@gmail.com  ,(938) 806-3607,73 Ridge Dr,Andrews,TX,No Comment,1
24,Clifford,Theis,Clifford.Theis@gmail.com  ,(828) 634-2499,92 Eagle Lane,Angelton,TX,No Comment,1
25,Mozella,Elmendorf,Mozella.Elmendorf@gmail.com  ,(289) 496-8187,61 E. Illinois St,Angus,TX,No Comment,1
26,Zofia,Speas,Zofia.Speas@gmail.com  ,(811) 257-0197,12 E. Atlantic St,Anna,TX,No Comment,1
27,Marco,Wiest,Marco.Wiest@gmail.com  ,(945) 376-6023,9020 Wintergreen St,Anson,TX,No Comment,1
